#cP2022  6 12  0  0  0.00000000     192 ORBIT IGb14 HLM  IGS
## 2214      0.00000000   900.00000000 59742 0.0000000000000
+   32   G01G02G03G04G05G06G07G08G09G10G11G12G13G14G15G16G17
+        G18G19G20G21G22G23G24G25G26G27G28G29G30G31G32  0  0
+          0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0
+          0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0
+          0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0
++         4  3  3  4  3  3  3  3  3  4  4  4  3  4  3  4  4
++         4  4  4  4  3  4  3  3  3  3  4  3  3  3  3  0  0
++         0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0
++         0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0
++         0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0
%c G  cc GPS ccc cccc cccc cccc cccc ccccc ccccc ccccc ccccc
%c cc cc ccc ccc cccc cccc cccc cccc ccccc ccccc ccccc ccccc
%f  1.2500000  1.025000000  0.00000000000  0.000000000000000
%f  0.0000000  0.000000000  0.00000000000  0.000000000000000
%i    0    0    0    0      0      0      0      0         0
%i    0    0    0    0      0      0      0      0         0
/* ULTRA ORBIT COMBINATION 22141_00 (59743.000) FROM:       
/* cou emu esu gfu siu usu whu                              
/* REFERENCED TO emu CLOCK AND TO WEIGHTED MEAN POLE:       
/* PCV:IGS14_2196 OL/AL:FES2004  NONE     Y  ORB:CMB CLK:CMB
*  2022  6 12  0  0  0.00000000
PG04  -6926.707177  15742.197796 -20205.077516   -158.014200  7  6  7 195       
PG05  25630.339156  -5664.523210   4384.183008    -85.199637     8  6 148       
PG06  10512.591912  10963.261180 -21719.351398    339.965469  4  8  8 200       
PG07  -2824.875043  23703.423648  11504.365389    321.870512  8  6 10 120       
PG08 -12982.980017   7839.365567  21770.281426    -71.774597  9  8  6 207       
PG09   2835.229509  22158.583212 -14407.424142   -329.165926  6  4  8 179       
PG10 -14950.523913 -11842.186324  18755.875881   -451.297097  9  7  7 234       
PG11  17546.903553  -3090.009438 -19694.749899    -15.766541 13  8 10 218       
PG12  19767.995595  -9962.507858 -14865.178918   -229.722150  8  4  6 179       
PG13  16804.948026   2795.596097  20269.704627    328.299346  8  9  6 196       
PG14  13170.681385  13196.679799  18951.732786   -111.310456  9  6  7 191       
PG15  12020.828492 -10065.233915  21023.900799    -53.955841  8  8  4 197       
PG16 -26793.345152   -994.890596   -256.141165   -508.268089  6  5  8 159       
PG17  13444.088553  22854.586482   -438.118256    623.917381  2  6  8 174       
PG18   4123.718704 -23802.135181  10900.919652    144.732425 12  5 11 191       
PG19  16738.355592  18647.745270  -9392.783253    169.498655  6  8  9 163       
PG20  25444.070136   -276.579634  -7179.696789    512.186665  4  6  9 165       
PG21 -16667.187793  15428.432372  13809.077546    161.311471 11  6 11 159       
PG22 -17582.614099 -16686.531579 -10641.612343    274.290365  9  8  8 170       
PG23  -3091.404490 -14780.879109  21844.725080    -27.495476 10 10  7 196       
PG24  14448.765776 -20542.528209   7667.802863    222.722476  4  6  7 208       
PG25   5340.993230 -15355.948761 -21243.785389    336.245000  6  7  5 158       
PG26 -23908.256444  -5207.623368 -10795.865491    211.757827  4  6  5 163       
PG27 -18611.087573  -5931.844475  17960.154067    214.608229  7  7  5 180       
PG28  20439.699293  10219.756383  13845.558290    340.017165  9 10  9 209       
PG29  -1459.972552 -22337.746110 -14293.065989   -523.129518  8  4  6 137       
PG30   5064.032404  18880.758248  17956.667925   -531.090720  6  9  9 158       
PG31 -12906.710579  -8475.489072 -21722.441576   -181.433368  8  8  5 176       
PG32 -16337.875954 -20866.380113  -2779.186917   -148.997540  4  7  8 201       
*  2022  6 12  1  0  0.00000000
PG01 -13841.567357  21507.595859   6136.567250    343.213174  7  5  9 193       
PG02  15943.148329  -3327.867012 -20364.667395   -652.758282  9  6  4 202       
PG03 -17799.929858  12611.672650 -15181.356538   -275.645454  4  8  8 122       
PG04  -8295.110129  13809.183240 -21091.186158   -158.010556  7  7  7 192       
PG05  26016.536065  -5472.810058   1562.582567    -85.200716     7  6 157       
PG06   9429.576362  13161.654992 -20978.295138    339.979277  3  8  8 201       
PG07  -3556.237418  24615.565343   8981.944370    321.870305  9  6 10 131       
PG08 -14450.962823   5838.293932  21503.887602    -71.775273  9  8  6 209       
PG09   1638.594276  20859.941169 -16405.295730   -329.162998  7  5  8 166       
PG10 -12785.287735 -12132.720064  20106.513232   -451.310553  9  8  6 235       
PG11  16546.556673  -1002.184441 -20751.238775    -15.764024 12  8 10 217       
PG12  21306.062610  -9814.654417 -12619.801700   -229.727712  5  3  6 185       
PG13  17770.123144   4855.494580  19045.158347    328.305654  8  9  7 195       
PG14  10942.642773  13431.111147  20157.310498   -111.311190 10  6  7 191       
PG15  13698.587152  -8222.330797  20830.558900    -53.953274  8  8  5 196       
PG16 -26634.538530  -1189.858806  -3093.648996   -508.270817  4  5  9 173       
PG17  13231.039751  22906.082182   2452.789827    623.921400  4  6  8 179       
PG18   4793.560559 -24702.340127   8309.894790    144.722716 12  3 11 193       
PG19  17016.550014  19503.329221  -6715.687628    169.503026  4  8  9 174       
PG20  24567.999542    252.158304  -9782.807789    512.183897  6  5  9 166       
PG21 -16306.713465  13825.591130  15935.145147    161.311845 10  7 10 168       
PG22 -17956.103473 -17766.196968  -8075.605712    274.296125  8  7  8 172       
PG23   -609.510139 -15075.525371  21844.235216    -27.497326 11 10  8 196       
PG24  14392.355628 -19415.414416  10228.006490    222.714959  5  7  6 206       
PG25   7667.805126 -15498.688005 -20374.784191    336.249215  6  7  5 154       
PG26 -22608.805005  -5647.582523 -13113.343130    211.759863  6  7  5 160       
PG27 -19652.200953  -7615.078967  16182.845789    214.611410  6  6  5 182       
PG28  18806.480014  10390.327759  15970.466157    340.011430  9 10  9 209       
PG29   -437.794849 -20916.088251 -16374.651785   -523.132743  8  4  6 148       
PG30   4028.491154  20556.491039  16269.585836   -531.091795  6  8  9 156       
PG31 -11785.519856 -10646.982069 -21357.935272   -181.434692  8  8  5 186       
PG32 -16235.153154 -21150.941606     54.143988   -149.005921  5  6  8 198       
*  2022  6 12  1 15  0.00000000
PG01 -13689.822582  20595.851940   8890.284618    343.206131  7  5  9 187       
PG02  15290.168232   -910.028924 -21068.734341   -652.758041  9  6  4 196       
PG03 -19401.802924  12693.000550 -12963.107724   -275.656386  4  8  8  81       
PG04  -9809.367981  11886.570175 -21613.530672   -158.006960  7  7  7 189       
PG05  26097.705775  -5241.795708  -1285.716754    -85.202459  1  6  6 164       
PG06   8509.905831  15319.989533 -19873.798777    339.993115     7  9 196       
PG07  -4136.492610  25289.985623   6302.930379    321.869702  9  7 10  99       
PG08 -15987.139786   3959.158052  20867.395019    -71.775610  8  9  7 206       
PG09    243.701941  19463.097282 -18121.756052   -329.160016  6  5  7 163       
PG10 -10506.511596 -12562.631804  21118.015220   -451.324052  9  8  3 233       
PG11  15615.939925   1225.503576 -21450.634112    -15.761557 11  7 10 214       
PG12  22587.311649  -9726.677323 -10159.130953   -229.732959  5  2  6 180       
PG13  18761.540030   6723.449891  17490.519325    328.311856  8  8  7 188       
PG14   8612.690252  13791.989055  21016.775379   -111.311975 10  6  7 185       
PG15  15425.767839  -6491.871143  20266.049583    -53.950620  7  8  5 196       
PG16 -26172.843208  -1410.868149  -5879.572975   -508.273381  2  5  9 174       
PG17  12836.972485  22701.566133   5301.554059    623.925575  6  6  8 177       
PG18   5298.636493 -25357.451698   5574.869360    144.713073 11  1 11 186       
PG19  17175.040126  20084.745441  -3925.338648    169.507621  3  8  9 166       
PG20  23446.650563    908.857420 -12215.358405    512.180333  5  5  9 149       
PG21 -15964.007743  12000.497519  17790.226617    161.311652 10  7 10 162       
PG22 -18219.949786 -18572.870886  -5369.926107    274.301746  8  6  8 162       
PG23   1833.095657 -15498.619616  21467.379068    -27.499208 11 10  8 191       
PG24  14306.854304 -18015.711761  12605.729293    222.707378  5  7  6 207       
PG25   9872.386408 -15743.762604 -19161.564273    336.253380  6  7  6 174       
PG26 -21090.161286  -6201.676839 -15209.638223    211.761918  6  7  6 138       
PG27 -20645.730344  -9066.350958  14127.403215    214.614593  6  6  5 179       
PG28  16966.549162  10659.053524  17826.998424    340.005585  8 10  9 204       
PG29    784.975862 -19371.850859 -18174.670303   -523.136460  8  4  6 111       
PG30   3151.561593  22090.688661  14301.376395   -531.092836  6  8  9 163       
PG31 -10798.854836 -12820.508488 -20628.239172   -181.436256  7  8  5 177       
PG32 -15947.115196 -21191.904474   2886.567795   -149.014359  5  5  8 196       
*  2022  6 12  1 30  0.00000000
PG01 -13493.059816  19383.467884  11486.042896    343.199057  7  4  8 185       
PG02  14747.573883   1599.057030 -21388.542777   -652.757678  8  6  4 194       
PG03 -20740.310056  12803.546623 -10521.838827   -275.667303  5  7  7  85       
PG04 -11445.790744  10017.044431 -21763.358673   -158.003316  7  7  7 189       
PG05  25881.278574  -4935.012067  -4112.126958    -85.204044     6  6 166       
PG06   7756.976942  17388.328209 -18424.879346    340.006974     6  9 195       
PG07  -4590.771652  25696.906644   3513.374054    321.869602 10  7 10  78       
PG08 -17554.379592   2232.976716  19872.795899    -71.777145  8  8  7 206       
PG09  -1341.520639  18011.806947 -19527.578406   -329.157036  6  5  7 166       
PG10  -8161.319246 -13138.004852  21772.762953   -451.337505  9  9  1 234       
PG11  14782.904727   3553.264539 -21780.971583    -15.759067  9  6  9 212       
PG12  23588.514361  -9663.872860  -7524.585290   -229.738294  7     7 180       
PG13  19740.098581   8374.459703  15633.393269    328.318186  8  8  7 189       
PG14   6227.730850  14284.805067  21515.110990   -111.312674 10  6  7 184       
PG15  17163.357997  -4901.620023  19341.702622    -53.948148  6  8  6 192       
PG16 -25420.878441  -1694.218819  -8567.681854   -508.275585     5  9 159       
PG17  12236.471434  22271.203042   8059.654277    623.929926  6  6  8 176       
PG18   5666.427926 -25738.982268   2743.217268    144.703403 11    11 187       
PG19  17175.683643  20402.018837  -1068.628129    169.512134  4  7 10 167       
PG20  22113.394400   1714.943621 -14435.141265    512.177610  5  5  9 159       
PG21 -15673.185428   9982.830745  19345.531432    161.312156 10  7  9 165       
PG22 -18337.011464 -19114.589872  -2571.840444    274.307348  8  6  8 166       
PG23   4188.794471 -16036.161259  20720.333899    -27.501075 11 10  9 190       
PG24  14227.830958 -16360.534780  14758.295929    222.699940  6  7  5 205       
PG25  11914.389929 -16068.437536 -17623.501690    336.257574  5  7  6 177       
PG26 -19387.416496  -6889.348406 -17049.174297    211.764006  7  8  6 149       
PG27 -21549.211978 -10276.610205  11830.135050    214.617784  5  5  5 184       
PG28  14958.857668  11048.148331  19385.566644    340.000031  7  9  9 204       
PG29   2205.621331 -17751.462345 -19662.445496   -523.139875  8  4  6 100       
PG30   2423.220853  23442.359611  12085.496182   -531.093923  6  7  9 162       
PG31  -9955.784952 -14949.036153 -19544.398511   -181.437303  7  8  6 173       
PG32 -15447.583410 -21015.429912   5669.976537   -149.022734  5  4  7 196       
*  2022  6 12  1 45  0.00000000
PG01 -13292.161725  17882.880659  13877.328993    343.191954  7  4  8 188       
PG02  14331.018060   4148.775597 -21317.413826   -652.757328  7  6  5 193       
PG03 -21796.181656  12905.622202  -7899.244353   -275.678218  5  7  7 117       
PG04 -13173.818200   8238.996578 -21538.352844   -157.999729  7  7  6 189       
PG05  25383.034893  -4518.450385  -6868.617835    -85.205482  2  5  6 167       
PG06   7165.558102  19318.040151 -16656.575545    340.020775     5  9 194       
PG07  -4949.231050  25813.746788    661.863687    321.869112 10  8 10 113       
PG08 -19111.687508    683.481851  18538.124836    -71.777953  7  8  7 204       
PG09  -3101.042597  16548.894463 -20598.874245   -329.154095  6  6  7 163       
PG10  -5798.009966 -13856.717973  22059.001697   -451.351017 10  8    234       
PG11  14068.506917   5936.815267 -21736.635571    -15.756551  9  5  9 211       
PG12  24294.617415  -9588.689449  -4760.830518   -229.743927  8  4  7 182       
PG13  20664.223177   9791.791121  13506.507974    328.324246  7  8  7 189       
PG14   3835.635402  14907.100666  21643.477163   -111.313431 10  7  7 181       
PG15  18869.415783  -3471.969324  18075.320725    -53.945437  6  8  6 191       
PG16 -24399.138924  -2073.269234 -11113.518086   -508.278070  1  6  9 153       
PG17  11410.988181  21650.833060  10680.608919    623.934181  7  6  7 175       
PG18   5929.464771 -25826.013567   -135.987164    144.693759 10    11 186       
PG19  16984.077977  20473.134135   1806.183259    169.516641  6  7 10 162       
PG20  20606.804433   2685.182622 -16403.785247    512.175003  5  5  9 158       
PG21 -15463.193402   7808.155627  20577.693095    161.311609  9  7  8 163       
PG22 -18273.656714 -19407.570884    270.293022    274.313060  7  5  7 168       
PG23   6413.360819 -16666.623582  19615.687212    -27.502982 11 10  9 190       
PG24  14188.147904 -14475.220954  16647.131753    222.692451  6  8  4 206       
PG25  13758.611649 -16443.894147 -15785.558234    336.261764  5  6  7 181       
PG26 -17540.040116  -7723.400198 -18600.559458    211.766098  7  8  5 147       
PG27 -22320.814986 -11245.604875   9331.161720    214.620930  5  4  5 183       
PG28  12826.424626  11572.903526  20621.699922    339.994311  6  8  9 203       
PG29   3812.806845 -16101.352014 -20812.705311   -523.143589  8  4  6  82       
PG30   1826.455952  24574.599538   9659.875070   -531.094991  6  6  9 162       
PG31  -9257.434974 -16985.125216 -18123.640479   -181.438854  6  8  7 178       
PG32 -14716.798353 -20653.377158   8357.232885   -149.031125  6  3  7 195       
*  2022  6 12  2  0  0.00000000
PG01 -13125.968166  16115.948232  16021.242132    343.184870  7  4  8 185       
PG02  14047.911758   6686.308276 -20856.221628   -652.757072  7  6  5 190       
PG03 -22558.823672  12959.684446  -5140.294864   -275.689097  5  7  7 143       
PG04 -14957.070328   6585.189980 -20942.652742   -157.996131  7  7  6 188       
PG05  24626.444644  -3962.040279  -9508.502654    -85.206675  4  4  6 171       
PG06   6722.139362  21063.561845 -14599.510373    340.034580     4  9 192       
PG07  -5245.689235  25626.134336  -2201.343999    321.868381 10  8 10 115       
PG08 -20615.716357   -673.565871  16887.087323    -71.779393  7  8  7 207       
PG09  -5011.161165  15114.666562 -21317.482699   -329.151117  6  6  7 161       
PG10  -3464.412845 -14708.409173  21971.074119   -451.364509  9  8  2 235       
PG11  13486.244243   8328.894038 -21318.450702    -15.754026  9  6  9 208       
PG12  24699.273762  -9462.329040  -1915.058335   -229.749100  8  6  7 179       
PG13  21491.502854  10967.389104  11147.098396    328.330695  7  8  7 189       
PG14   1483.582418  15648.478416  21399.379859   -111.314157  8  6  8 176       
PG15  20500.658697  -2215.366871  16490.737159    -53.942954  6  8  6 188       
PG16 -23135.246116  -2577.036630 -13475.044842   -508.280764  3  7  8 166       
PG17  10349.656735  20880.473992  13120.702926    623.938352  7  6  7 173       
PG18   6123.853628 -25606.041112  -3012.838596    144.684068 10  5 11 187       
PG19  16571.031192  20323.269239   4650.235017    169.520982  7  7 10 165       
PG20  18969.189641   3826.916036 -18087.426755    512.172249  4  6  9 154       
PG21 -15356.759652   5516.684960  21468.941587    161.311898  9  7  8 168       
PG22 -18001.143778 -19475.351142   3107.865341    274.318747  7  5  7 175       
PG23   8467.480562 -17361.779460  18172.239198    -27.504879 10 10 10 188       
PG24  14216.488157 -12392.484584  18238.536550    222.684952  5  7  4 204       
PG25  15376.183666 -16836.350801 -13677.954581    336.265922  4  6  6 179       
PG26 -15590.508400  -8709.331628 -19837.107807    211.768335  7  8  4 132       
PG27 -22920.964365 -11981.626253   6673.688813    214.624166  4  5  6 189       
PG28  10614.855978  12241.067604  21516.311491    339.988541  7  7  9 202       
PG29   5586.845324 -14466.232056 -21605.993320   -523.146958  8  4  6 120       
PG30   1338.096418  25455.983856   7066.278730   -531.096079  5  5  9 162       
PG31  -8697.011444 -18882.611441 -16389.177377   -181.440333  4  7  7 168       
PG32 -13742.315734 -20141.975159  10902.930126   -149.039511  6  4  6 195       
*  2022  6 12  2 15  0.00000000
PG01 -13029.557199  14113.252646  17879.357699    343.177805  6  4  7 187       
PG02  13897.136243   9158.627004 -20013.406352   -652.756758  5  6  6 185       
PG03 -23026.626219  12926.019163  -2292.474628   -275.700039  5  7  8 133       
PG04 -16754.630128   5081.658410 -19986.765415   -157.992527  7  7  6 189       
PG05  23641.734566  -3240.973247 -11987.191433    -85.207926  4  4  6 168       
PG06   6405.616367  22584.049563 -12289.351458    340.048427  3  3  9 190       
PG07  -5516.087313  25128.615544  -5025.266363    321.867937 10  9 10 136       
PG08 -22022.365185  -1830.747804  14948.603585    -71.781516  6  7  7 207       
PG09  -7041.230008  13745.437976 -21671.263648   -329.148120  6  6  7 161       
PG10  -1206.253013 -15674.758431  21509.565387   -451.377949  9  8  3 234       
PG11  13041.598694  10680.892690 -20533.663400    -15.751511 10  7  8 203       
PG12  24805.054148  -9246.422221    963.798936   -229.754587  8  8  7 180       
PG13  22180.364502  11901.947650   8596.223640    328.337010  6  8  7 189       
PG14   -783.571140  16490.932332  20786.733562   -111.314841  7  5  8 170       
PG15  22014.096400  -1136.084445  14617.261510    -53.940170  6  9  7 192       
